,Nr,Grunnkretsnavn,2022,2023,2024
149,2212.0,Jakobsli 12,659,642,629
150,2215.0,Jakobsli 15,518,531,533
151,2216.0,Jakobsli 16,688,693,694
152,2217.0,Jakobsli 17,299,297,304
153,2218.0,Charlottenlund-Jakobsli 18,1047,1291,1460
154,2219.0,Charlottenlund-Jakobsli 19,1108,1154,1110
155,2220.0,Charlottenlund-Jakobsli 20,621,611,592
156,2301.0,Ranheim 1,785,796,788
157,2302.0,Ranheim 2,1176,1157,1147
158,2304.0,Ranheim 4,552,541,546
159,2305.0,Ranheim 5,1100,1102,1140
160,2306.0,Ranheim 6,725,742,753
161,2307.0,Ranheim 7,858,862,942
162,2308.0,Ranheim 8,975,974,970
163,2310.0,Ranheim 10,124,121,133
164,2312.0,Ranheim 12,911,929,1055
165,2313.0,Ranheim 13,0,0,0
166,2314.0,Ranheim 14,1353,1370,1404
167,2315.0,Ranheim 15,10,11,11
168,2316.0,Ranheim 16,1452,1447,1445
169,2317.0,Ranheim 17,0,0,0
170,2318.0,Ranheim 18,325,315,312
171,3101.0,Høyli,664,654,668
172,3102.0,Tyholt 1,298,295,278
173,3103.0,Tyholt 2,236,244,247
174,3104.0,Tyholt 3,358,360,370
175,3105.0,Kongssletta,606,671,743
176,3106.0,Valentinlyst,419,406,415
177,3108.0,Eberg 2,445,465,465
178,3109.0,Blussuvold,573,591,590
179,3110.0,Berg 1,770,770,774
180,3111.0,Berg 2,286,286,288
181,3112.0,Berg 3,202,197,200
182,3113.0,Berg 4,651,656,672
183,3114.0,Grønnflaten,85,87,84
184,3116.0,Karinelund,187,198,205
185,3117.0,Studentbyen,829,807,791
186,3119.0,Berg-Tyholt 19,645,650,637
187,3120.0,Berg-Tyholt 20,364,354,339
188,3121.0,Berg-Tyholt 21,276,266,269
189,3122.0,Berg-Tyholt 22,488,452,457
190,3123.0,Berg-Tyholt 23,478,440,458
191,3124.0,Berg-Tyholt 24,513,523,527
192,3125.0,Berg-Tyholt 25,229,211,219
193,3201.0,Stokkan 1,81,80,80
194,3203.0,Stokkan 3,471,461,489
195,3204.0,Stokkan 4,752,755,740
196,3205.0,Stokkan 5,220,230,224
197,3206.0,Stokkan 6,550,555,554
198,3207.0,Stokkan 7,814,825,831
199,3208.0,Stokkan 8,998,994,995
200,3209.0,Stokkan 9,153,152,156
201,3210.0,Stokkan 10,746,753,709
202,3211.0,Stokkan 11,1526,1537,1533
203,3215.0,Stokkan 15,905,889,907
204,3216.0,Stokkan 16,783,783,788
205,3217.0,Stokkan 17,630,652,660
206,3218.0,Stokkan 18,3,3,3
207,3219.0,Åsvang-Stokkan 19,818,818,805
208,3220.0,Åsvang-Stokkan 20,31,31,29
209,3221.0,Åsvang-Stokkan 21,18,14,15
210,3222.0,Åsvang-Stokkan 22,9,8,8
211,3223.0,Åsvang-Stokkan 23,186,181,180
212,3224.0,Åsvang-Stokkan 24,350,345,337
213,3225.0,Åsvang-Stokkan 25,1,0,1
214,3226.0,Åsvang-Stokkan 26,0,0,0
215,4101.0,Valene vest,97,105,104
216,4102.0,Valene øst,262,268,255
217,4103.0,Lerkendal syd,3,4,2
218,4104.0,Tempe nordre,1263,1305,1261
219,4105.0,Tempe søndre,7,7,5
220,4107.0,Siemens,0,0,0
221,4108.0,Bakketun,454,479,474
222,4109.0,Sundland,641,626,644
223,4110.0,Narbo nordre,926,1024,1031
224,4111.0,Blomsterbyen,493,500,500
225,4112.0,Nidaro,186,188,192
226,4114.0,Nardo 14,409,415,426
227,4115.0,Nardo 15,128,120,110
228,4116.0,Nardo 16,473,501,491
229,4117.0,Nardo 17,409,421,407
230,4118.0,Nardo 18,99,95,94
231,4202.0,Sluppen østre,429,425,436
232,4205.0,Midtli,89,83,92
233,4206.0,Hoeggen,374,369,388
234,4207.0,Stubban øvre,482,487,500
235,4208.0,Stubban nedre,762,734,750
236,4209.0,Stubban vestre,586,591,609
237,4211.0,Stubli,476,458,459
238,4212.0,Stubban søndre,563,573,567
239,4213.0,Utleir vestre,962,944,926
240,4214.0,Foldal,207,215,220
241,4218.0,Leira,91,82,80
242,4219.0,Nidarvoll-Leira 19,2,3,2
243,4220.0,Nidarvoll-Leira 20,6,6,6
244,4221.0,Nidarvoll-Leira 21,463,469,471
245,4222.0,Nidarvoll-Leira 22,435,424,456
246,4223.0,Nidarvoll-Leira 23,860,863,821
247,4224.0,Nidarvoll-Leira 24,461,481,471
248,4225.0,Nidarvoll-Leira 25,372,361,364
249,4226.0,Nidarvoll-Leira 26,1297,1285,1290
250,4227.0,Nidarvoll-Leira 27,476,471,478
251,4228.0,Nidarvoll-Leira 28,23,25,22
252,4229.0,Nidarvoll-Leira 29,298,294,294
253,4230.0,Nidarvoll-Leira 30,171,173,172
254,4231.0,Nidarvoll-Leira 31,14,13,10
255,4232.0,Nidarvoll-Leira 32,21,19,20
256,4233.0,Nidarvoll-Leira 33,131,127,134
257,4234.0,Nidarvoll-Leira 34,129,110,116
258,4235.0,Nidarvoll-Leira 35,0,0,0
259,4301.0,Othilienborg,1024,1020,1036
260,4302.0,Steindal,797,807,806
261,4303.0,Solborg vestre,388,382,394
262,4304.0,Risvold nordre,387,400,401
263,4305.0,Risvold,825,849,855
264,4306.0,Utleir,922,933,894
265,4311.0,Risvollan-Othilienborg 11,367,377,374
266,4312.0,Risvollan-Othilienborg 12,0,79,177
267,4313.0,Risvollan-Othilienborg 13,505,509,495
268,4314.0,Risvollan-Othilienborg 14,310,305,300
269,4315.0,Risvollan-Othilienborg 15,500,490,492
270,4316.0,Risvollan-Othilienborg 16,372,379,374
271,4317.0,Risvollan-Othilienborg 17,330,334,164
272,4318.0,Risvollan-Othilienborg 18,281,280,288
273,4319.0,Risvollan-Othilienborg 19,616,604,624
274,4501.0,Jonsvatnet 1,545,564,583
275,4502.0,Jonsvatnet 2,8,7,7
276,4503.0,Jonsvatnet 3,36,35,36
277,4504.0,Jonsvatnet 4,4,4,1
